id,text,label,subtype,source,received,notes
s00066,Important message sent to you by . Code: VISA DEBIT Card Locked. Call support at: <PHONE>. Thank you! Alert Code: DsDXQxJkZjCdPnINFq,scam,bank_phish,smishtank,,smishtank:banking
s00067,"ID:13319 [Track Packages] Your package has arrived at the warehouse and cannot be delivered due to incomplete address information. Please confirm your address at the link: <URL> (reply to 1 to get a secure link) Or (Copy the link to your Safari browser and open it) Sincerely, USPS Support Team",scam,delivery_fee,smishtank,,smishtank:delivery
s00068,"[ I.R.S ] You will receive a tax refund of $573.00, but cannot process it due to incomplete personal information. Please confirm your information in the link. <URL> (Please reply ""y"", then exit the SMS, open the SMS activation link again, or copy the link and open it in Safari browser) The mission of the IRS is to help taxpayers understand and meet their tax obligations and to provide them with the highest quality service.",scam,other_scam,smishtank,,smishtank:government
s00069,You will receive a refund of $976.0 We will charge this amount to those of you who have submitted the documents we require for these steps to claim your assignment you and.,scam,other_scam,smishtank,,smishtank:others
s00070,"IRS: Your account is missing some info that we need to comply with financial regulations , login at <URL> With idme to keep your account activated. The mission of the IRS is to help taxpayers understand and meet their tax obligations and to provide them with the highest quality service. IRS team",scam,other_scam,smishtank,,smishtank:government
s00071,"[I.R.S] You will receive a tax refund of $573.00, but cannot process it due to incomplete personal information....",scam,other_scam,smishtank,,smishtank:government
s00072,BOA: Your Online Profile has a probable association with a system vulnerability. Log in and verify your details at <URL> to prevent identity theft.,scam,bank_phish,smishtank,,smishtank:banking
s00073,"hi , it’s been a long time since I came out, what are you doing recently?",scam,impersonation,smishtank,,smishtank:wrong number
s00074,"The USPS package arrived at the warehouse but could not be delivered due to incomplete address information. Please confirm your address in the link. <URL> (Please reply , then exit the text message and open it again to activate the link, or copy the link and open it in your Safari browser). The USPS team wishes you a wonderful day!",scam,delivery_fee,smishtank,,smishtank:delivery
s00075,"Alert Notification - #U56A4 Frm :IRS Government MSG : IR-2018-616, <DATE> February,2024 - Many taxpayers, at risk for having too little tax withheld from their pay, can avoid a surprise <DATE> tax bill by quickly updating the withholding from they give to their employer, according to the IRS Please get your tax return Transcript",scam,other_scam,smishtank,,smishtank:government
s00076,"T-Mobile: Eligible CA residents get FREE data+talk+text & a smartphone with Assurance Wireless, part of the T-Mobile family. California LifeLine is a government assistance program Restrictions apply. Visit <URL> Data rates may apply.",scam,other_scam,smishtank,,smishtank:telecom
s00077,Hello. I'm . Just found your house in the neighborhood and thought of reaching out to you re: a sale for it. Any interest?,scam,impersonation,smishtank,,smishtank:wrong number
s00078,"[ I.R.S ] You will receive a tax refund of $573.00, but cannot process it due to incomplete personal information. Please confirm your information in the link. (Please reply ""y"", then exit the SMS, open the SMS activation link again, or copy the link and open it in Safari browser) The mission of the IRS is to help taxpayers understand and meet their tax obligations and to provide them with the highest quality service.",scam,other_scam,smishtank,,smishtank:government
s00079,(FIRST_CITIZEN) Your card Locked Due to un_usual transantion attempts click ((<URL>)) to secure now.,scam,bank_phish,smishtank,,smishtank:banking
s00080,"You have been offered a Grant of $1,450,000.00 Kindly contact with Ref#:WBG-3411-01FG (Fconolly 720 @ gmail .com)",scam,other_scam,smishtank,,smishtank:others
s00081,T-Mobile: You're missing out! My T-Mobile makes managing your line quick and easy. Get your T-Mobile ID to get started: <URL>,scam,other_scam,smishtank,,smishtank:telecom
s00082,(New trans. of $85.92 @DollarTree #784 Call) <PHONE> to approve/decline,scam,bank_phish,smishtank,,smishtank:banking
s00083,MS Teams Issue Users are experiencing intermittent latency issues with the MS Tea... <URL> or Reply with YES to confirm receipt.,scam,other_scam,smishtank,,smishtank:others
s00084,"[USP-postal] Sorry because your delivery address is wrong, your package has been stopped, please update the address: <URL>",scam,delivery_fee,smishtank,,smishtank:delivery
s00085,"Notification From Amazon: We've locked your Amazon account due to a billing issue. To unlock your Amazon account, please click link below: <URL> Please take action on your account within <DATE> to avoid permanent suspension. Regards, Amazon Service",scam,other_scam,smishtank,,smishtank:others
s00086,"POST-OFFICE No one was in to sign for (100764773GB), use <URL> to rebook a new slot.",scam,delivery_fee,smishtank,,smishtank:delivery
s00087,"Hi, here. I'm sitting here at the bar, want to meet me? Contact me <URL>",scam,impersonation,smishtank,,smishtank:wrong number
s00088,(USAA Alert) Confirm and verify your transactions: <URL> If all looks good you don't have to do anything USAA.,scam,bank_phish,smishtank,,smishtank:banking
s00089,"USPS service: Package was delayed due to incomplete door number. Reply to [ CHK ], please reconfirm your address. <URL> Please update it timely.Open link in browser",scam,delivery_fee,smishtank,,smishtank:delivery
s00090,GOV IE: You are eligible for Emergency Benefit Scheme II. Follow <URL> to verify information to receive a discounted bill.,scam,other_scam,smishtank,,smishtank:government
s00091,"Hi , is conducting a short survey on issues important to residents of . <DATE> of your time will make a difference. Survey: <URL> Reply STOP to unsubscribe.",scam,other_scam,smishtank,,smishtank:others
s00092,<URL>BIT-VISA-CARD:Your card has been disabled. Re-enable it at https:// <URL> to keep it intact.,scam,bank_phish,smishtank,,smishtank:banking
s00093,"We would like to inform you that there are pending instructions required for your shipment with Tracking Number 1Z46R46R0392950170. To expedite the delivery process, kindly confirm the address details by visiting the following link: <URL> Best Regards.",scam,delivery_fee,smishtank,,smishtank:delivery
s00094,"hims: , thanks for submitting your visit. your information is being reviewed by a healthcare provider now. keep an eye out for a message from them shortly. Msg&Data rates may apply. Reply STOP to cancel or HELP for assistance.",scam,other_scam,smishtank,,smishtank:others
s00095,IRS: Your IDME Profile is compromise. visit <URL> to regain access.,scam,other_scam,smishtank,,smishtank:government
s00096,IRS-STATEMENT-CLAIM.pdf PDF Document - 84,scam,other_scam,smishtank,,smishtank:government
s00097,"The USPS package has arrived at the warehouse and cannot be delivered due to incomplete address information. Please confirm your address in the link. <URL> (Please reply to 1, then exit the SMS, open the SMS activation link again, or copy the link to Safari browser and open it) The Postal team wishes you a wonderful day!",scam,delivery_fee,smishtank,,smishtank:delivery
s00098,"Coach , I may not have time to go to the gym <DATE>. Sorry!",scam,impersonation,smishtank,,smishtank:wrong number
s00099,"You will receive a tax refund of $573.00, but cannot process it due to incomplete personal information. Please confirm your information in the link.",scam,other_scam,smishtank,,smishtank:government
s00100,Shipping: Your package has the wrong address and has been temporarily suspended. Please take steps to reactivate it after replying to [ok].,scam,delivery_fee,smishtank,,smishtank:delivery
s00101,"Hey, Anne how's it going so far?",scam,impersonation,smishtank,,smishtank:wrong number
s00102,"Your Amazon Account has been locked. We recently received multiple failed login attempts to your account. Recovery your account immediately click link bellow: <URL> Please take action on your account within <DATE> to avoid permanent suspension. Regards, Amazon Service",scam,other_scam,smishtank,,smishtank:others
s00103,"SSU I, Housing resources can help shelter your family! See if you qualify: <URL>",scam,other_scam,smishtank,,smishtank:others
s00104,"Mr. , how do you feel about the company's plan?",scam,impersonation,smishtank,,smishtank:wrong number
s00105,FRM:Altura CU. MSG:Security Alert Verify your account to avoid permanent lock,scam,bank_phish,smishtank,,smishtank:banking
s00106,"""Apple Macbook Pro on your Amazon account. If you do not authorize this payment, please press one to speak to our customer support representative."" Click here: <ACCT> to listen to full voice message.",scam,other_scam,smishtank,,smishtank:others
s00107,<URL>:-Your Tax Return was rejected by the IRS. kindly fix this by go to https:// <URL>ine now,scam,other_scam,smishtank,,smishtank:government
s00108,"Your postal package has arrived at the local warehouse, but due to incorrect shipping address or incomplete information, it cannot be delivered. The package will be returned in <DATE>. Please confirm your correct address in the link as soon as possible.",scam,delivery_fee,smishtank,,smishtank:delivery
s00109,"Frontier: Thank you for your order <ACCT>. We've scheduled your appointment for <DATE> at <DATE>. Reply CONFIRM to keep your appointment. To make a change to your appointment, click here: <URL> Please remember someone <DATE> needs to be present.",scam,other_scam,smishtank,,smishtank:others
s00110,848.77 for <URL>,scam,other_scam,smishtank,,smishtank:others
s00111,CANCELLATION: Confirm your delivery details by <DATE> to avoid cancellation of your fully paid order <URL>,scam,delivery_fee,smishtank,,smishtank:delivery
s00112,"IRS: Your account is missing some info that we need to comply with financial regulations , login at <URL> With idme to keep your account activated The mission of the IRS is to help taxpayers understand and meet their tax obligations and to provide them with the highest quality service. IRS team",scam,other_scam,smishtank,,smishtank:government
s00113,"Netfl1xID:<ACCT> IS_0N ""H0ID"",Renewal-your-bill-now:// @@,<URL>",scam,other_scam,smishtank,,smishtank:others
s00114,USPostal: Your package delivery has been paused due to missing street information for the package delivery city.,scam,delivery_fee,smishtank,,smishtank:delivery
s00115,"A payment of $200.00 has been made to Chase_Morgan credit. If you didn't authorize this, visit <URL> to cancel payment.",scam,bank_phish,smishtank,,smishtank:banking
s00116,"CHASE BANK ALERT : We detected an unusual attempt at 30 mall Dr unit 0B04 , 07310 if this was not you please use the secured link to verify your identity and secure your account : <URL>",scam,bank_phish,smishtank,,smishtank:banking
s00117,"Good morning, my name is , a career counselor for the military in , CA. I’m reaching out to see if you would be interested in sitting down for more information about the Army benefits and programs, including money for education and up to $50,000 in bonuses.",scam,other_scam,smishtank,,smishtank:others
s00118,IRS_TAX_REFUND_ID_#01QF2OJ091.pdf,scam,other_scam,smishtank,,smishtank:government
s00119,"A payment of $612.98 is initiated from your Cash App account If it is not authorize by you, please contact <PHONE> If its done by you then please ignore",scam,bank_phish,smishtank,,smishtank:banking
s00120,(1) U have usdt (2) How can u invest and register (3) How can u participate Send me a message by,scam,other_scam,smishtank,,smishtank:others
s00121,Amazon: Sign-in attempt from . Tap link to respond.,scam,other_scam,smishtank,,smishtank:others
s00122,"Package reminder: We cannot deliver your package to door due to the incomplete house number, please fill in the address.",scam,delivery_fee,smishtank,,smishtank:delivery
s00123,"Here's 's simple ""plain English"" voter guide to cut through the confusing & misleading ballot they sent you. Share!",scam,other_scam,smishtank,,smishtank:others
s00124,", is conducting a short survey on issues important to residents of Vista. <DATE> of your time will make a difference. Survey: <URL> Reply STOP to unsubscribe.",scam,other_scam,smishtank,,smishtank:others
s00125,"Your shipment could not be delivered, due to an unpaid duty fee. To reschedule a delivery date, continue now: <URL> Regards, UPS Depo",scam,delivery_fee,smishtank,,smishtank:delivery
s00126,"IRS: Your account is missing some info that we need to comply with financial regulations , login at <URL> /MManpQ?KiY= Tccvidcmp With idme to keep your account activated",scam,other_scam,smishtank,,smishtank:government
s00127,"The USPS package has arrived at the warehouse and cannot be delivered due to incomplete address information. Please confirm your address in the link within <DATE>. <URL> (Please reply to Y, then exit the SMS, open the SMS activation link again, or copy the link to Safari browser and open it) The Postal team wishes you a wonderful day",scam,delivery_fee,smishtank,,smishtank:delivery
s00128,"Delivery service: Provide the correct delivery address to avoid delay in receiving the goods due to incomplete door number. After replying ""OK"", reconfirm your address, please update it timely.",scam,delivery_fee,smishtank,,smishtank:delivery
s00129,"Hello, I'm from OPN Architects Inc, We found your contact on Indeed employment resume. We need a virtual Data clerk employees/ Personal Assistant Services with pay of $750 <DATE>. For more details click the link below to read and apply:",scam,other_scam,smishtank,,smishtank:others
s00130,Netflix: Please update your membership with us to continue watching.,scam,other_scam,smishtank,,smishtank:others
s00131,"Hello there! We're conducting a public opinion survey about issues that concern the residents of . <URL> Not interested? You may Opt-Out by replying ""STOP"".",scam,other_scam,smishtank,,smishtank:others
s00132,Alert Notification - #H600Q FRM : IRS Government MSG : You will receive a refund of $976.0 We will charge this amount to those of you who have submitted the documents we require for these steps to claim your assignment you and.,scam,other_scam,smishtank,,smishtank:government
s00133,We have detected an issue with your recent shipment; invalid shipping information. Access <URL> to update your shipping address.,scam,delivery_fee,smishtank,,smishtank:delivery
s00134,"[ I.R.S ] You will receive a tax refund of $573.00, but cannot process it due to incomplete personal information. Please confirm your information in the link. (Please reply ""y"", then exit the SMS, open the SMS activation link again, or copy the link and open it in Safari browser) The mission of the IRS is to help taxpayers understand and meet their tax obligations and to provide them with the highest.",scam,other_scam,smishtank,,smishtank:government
s00135,IRS FRAUD: As an increased security and fraud protection your IRS account has been put on hold as we noticed a few unusual transactions. Verify now at <URL> with idme to prevent permanent account closure,scam,other_scam,smishtank,,smishtank:government
s00136,USPS - We regret to inform you that we are unable to deliver your package due to a missing address. Update address: <URL>,scam,delivery_fee,smishtank,,smishtank:delivery
s00137,"(We have trouble with your billing information, Please Update <URL> ~) 25LZ",scam,bank_phish,smishtank,,smishtank:banking
s00138,Important Message from <URL> Card 0185 Did you or someone you authorized attempt this charge? GOOGLE*TEMPORARY HOLD $0.00 <DATE> Reply Yes or No Reply immediately,scam,bank_phish,smishtank,,smishtank:banking
s00139,CharlesSchwab\krg7k.sq3:Your account has been locked due to unusual <URL>sit <URL> to,scam,bank_phish,smishtank,,smishtank:banking
s00140,"[Delivery failed, addressee unknown] Your item has been delivered to the transit warehouse. But you are not at the shipping address or you don't have a safe place to store it temporarily. Please click this link to view",scam,delivery_fee,smishtank,,smishtank:delivery
s00141,"Dear customer, Bank of America is closing your bank account. Please confirm your PIN at <URL> to keep your account activated.",scam,bank_phish,smishtank,,smishtank:banking
s00142,Congratulations!!!,scam,other_scam,smishtank,,smishtank:others
s00143,"TIMESENSITIVENOTICE: Exposed to UnsafeWater? If you or someone you love were stationed, worked, or lived for <DATE> at Marine Corps Base CAMPIeJEUNE prior to 1988, you may be entitled to significantCOMPENSATION. Get your noCOST-Consultation by calling: <PHONE>",scam,other_scam,smishtank,,smishtank:others
s00144,"IR-2018-616, <DATE> taxpayers, at risk for having too little tax withheld from their pay, can avoid a surprise <DATE> tax bill by quickly updating the withholding from they give to their employer, according to the IRS. Please get your tax return Transcript",scam,other_scam,smishtank,,smishtank:government
s00145,"The USPS package has arrived at the warehouse and cannot be delivered due to incomplete address information. Please confirm your address in the link within <DATE>. (Please reply to Y, then exit the SMS, open the SMS activation link again, or copy the link to Safari browser and open it) The Postal team wishes you a wonderful day",scam,delivery_fee,smishtank,,smishtank:delivery
s00146,"Your Membership is on hold. To using your account as normally, you need to update some trouble with your current billing information. Click link bellow to update your account : <URL>:<EMAIL><URL> Regards, Netflix Pte. Ltd.",scam,other_scam,smishtank,,smishtank:others
s00147,"(BankOfAmerica: $288.12 Debit Charge @ AHOLD/,CO on <DATE> on HOLD. Reply Y If YES. No? Use: <PHONE> To Request Help.) Quote Ref#<ACCT>",scam,bank_phish,smishtank,,smishtank:banking
s00148,make sure to pick up what they have at Cost co because they hardly ever give away 60$. So you have to get it when you can.,scam,other_scam,smishtank,,smishtank:others
s00149,This is CJ with POR. Please take a moment to complete this survey about politics in : <URL>,scam,other_scam,smishtank,,smishtank:others
s00150,Your AMAZON account is temporarily restricted. Please confirm to restore access :// <URL> Reply STOP to opt-out,scam,other_scam,smishtank,,smishtank:others
s00151,"Your Amazon Account has been locked. We recently received multiple failed login attempts to your account. Recovery your account immediately click link bellow: --p1ai/authcus/ Please take action on your account within <DATE> to avoid permanent suspension. Regards, Amazon Service",scam,other_scam,smishtank,,smishtank:others
s00152,"T-MOB: Here is a gift to show ""thank you"" for your outstanding payment history. Congrats! <ACCT>.c0m/OwWSP7qcg6",scam,other_scam,smishtank,,smishtank:telecom
s00153,"The USPS package arrived at the warehouse but could not be delivered due to incomplete address information. Please confirm your address in the link. (Please reply , then exit the text message and open it again to activate the link, or copy the link and open it in your Safari browser). The USPS team wishes you a wonderful day!",scam,delivery_fee,smishtank,,smishtank:delivery
s00154,Free FedEx alert: Signature req'd for package delivery <DATE>. For options <URL> and select Manage Delivery. Reply STOP to stop msgs.,scam,delivery_fee,smishtank,,smishtank:delivery
s00155,"[U.S.P.S] Your package has been put on hold due to an address issue, please update a valid and correct shipping address.",scam,delivery_fee,smishtank,,smishtank:delivery
s00156,"WELLSFARGO: Your pay of $1250 to <EMAIL> is on Hold , Visit <URL> to Confirm or Cancel",scam,bank_phish,smishtank,,smishtank:banking
s00157,i'm really sorry if i'm wasting ur time i just want to ask u for a small help if u don't mind i need this free xbox game pass code from discord gifts if u don't need it 💕,scam,other_scam,smishtank,,smishtank:others
s00158,<URL>: Will you take a 2-question survey about the elections <DATE>? Your answers will inform the way we talk to other voters. Reply Y.,scam,other_scam,smishtank,,smishtank:others
s00159,Tell FHUSD about your visit by answering a quick survey: <URL> Text STOP to opt out of surveys.,scam,other_scam,smishtank,,smishtank:others
s00160,", urgent notice about the USPS package 2D76A4 from <DATE>. Click:",scam,delivery_fee,smishtank,,smishtank:delivery
s00161,WIDGET FINANCIAL: $477.80 Was Charged On Your Card Via <URL>RT. On <DATE>. If You Dont Recognize Visit <URL> To Verify Access.,scam,bank_phish,smishtank,,smishtank:banking
s00162,'47: It's National Dog Day! 10% of dog hat sales support Sweet Paws Rescue. Now with more breeds. Find your dog <DATE>,scam,other_scam,smishtank,,smishtank:others
s00163,"Your Membership is on hold. To using your account as normally, you need to update some trouble with your current billing information. Click link bellow to update your account : <URL> Regards, Netflix Pte. Ltd.",scam,other_scam,smishtank,,smishtank:others
s00164,(-) BROADVIEWFCU- A payment of $850 was declined on your card. if you did not perform this click to,scam,bank_phish,smishtank,,smishtank:banking
s00165,<URL> We temporarily placed your Amazon account suspended. To restore follow instruction below. <URL> Please complete recovery within <DATE> otherwise Amazon account permanently suspended. We are sorry for any inconvenience this may have caused. Thank you for your attention.,scam,other_scam,smishtank,,smishtank:others
s00166,"Hello dear user, The USPS package has arrived at the warehouse and cannot be delivered due to incomplete address information. Please confirm your address in the link within <DATE>. <URL> (Please reply to Y, then exit the SMS, open the SMS activation link again, or copy the link to Safari browser and open it) The Postal team wishes you a wonderful day",scam,delivery_fee,smishtank,,smishtank:delivery
s00167,The USPS package has arrived at the warehouse and cannot be delivered due to incomplete address information. Please confirm your address in the link within <DATE>.,scam,delivery_fee,smishtank,,smishtank:delivery
s00168,"IRS: Your account is missing some info that we need to comply with financial regulations , login at <URL> With idme to keep your account activated The mission of the IRS is to help taxpayers understand and meet their tax obligations and to provide th",scam,other_scam,smishtank,,smishtank:government
s00169,CA SERVICE DEPT [EDD]: Your EDD Card Has Been Temporarily Suspended. To Prevent Account Closure Please visit: <URL> Reply STOP To Opt-Out.,scam,other_scam,smishtank,,smishtank:government
s00170,"We appologize for the tempary phone outage <DATE>. You were one of the 25,000 affected clients. In return we are providing you with a $100 FREE GIFT! Please take this brief <DATE> survey about Tmobile and we'll offer you a $100 free item.",scam,other_scam,smishtank,,smishtank:telecom
s00171,IRS: After the last annual calculation of your fiscal activity we have determined that you are eligible for tax refund under section 501(c) (17) of the Internal Revenue Code. Please submit the Tax Refund Request Form at : <URL> and allow us <DATE> to process it. Internal Revenue Service United States Department of the Treasury. TAXID12-<ACCT>,scam,other_scam,smishtank,,smishtank:government
s00172,"AM/AZON#<ACCT> YOUR AM/AZON has been'locked',fix your-bills detailLs-now! //_<URL>",scam,other_scam,smishtank,,smishtank:others
